id,name_ko,name_en,lat,lon
ahwa,아화,Ahwa,35.8983718,129.0515848
andong,안동,Andong,36.5743355,128.6749196
angang,안강,Angang,35.9706754,129.2334569
angseong_oncheon,앙성온천,Angseong Oncheon,37.0921124,127.7868708
anjung,안중,Anjung,36.9720384,126.938512
anyang,안양,Anyang,37.4014362,126.9230406
asan,아산,Asan,36.7920799,127.1042604
baegyangsa,백양사,Baegyangsa,35.4318313,126.8078035
banseong,반성,Banseong,35.1747033,128.258219
beolgyo,벌교,Beolgyo,34.8417841,127.3454487
bonghwa,봉화,Bonghwa,36.8913065,128.726673
bongyang,봉양,Bongyang,37.1298998,128.1304669
boseong,보성,Boseong,34.7667131,127.0817327
bubal,부발,Bubal,37.2604777,127.4904883
bugang,부강,Bugang,36.5324545,127.365479
bugulsan,북울산,Bugulsan,35.6147363,129.37244
bujeon,부전,Bujeon,35.1645442,129.0601293
bukcheon,북천,Bukcheon,35.1116803,127.8836032
buncheon,분천,Buncheon,36.9327526,129.0582697
busan,부산,Busan,35.1149367,129.0421667
centum,센텀,Centum,35.1798892,129.1241713
changwon,창원,Changwon,35.2577405,128.6065832
changwon_jungang,창원중앙,Changwon Jungang,35.2424397,128.7017114
cheonan,천안,Cheonan,36.8095339,127.1466656
cheonan_asan,천안아산,Cheonan-Asan,36.7943436,127.1044708
cheongdo,청도,Cheongdo,35.6398052,128.7461859
cheongju,청주,Cheongju,36.6472684,127.3917658
cheongju_airport,청주공항,Cheongju International Airport,36.7217222,127.4895956
cheongni,청리,Cheongni,36.3391895,128.1286112
cheongnyangni,청량리,Cheongnyangni,37.5803059,127.0478932
cheongso,청소,Cheongso,36.4454233,126.5908716
cheoram,철암,Cheoram,37.1130854,129.0363797
chuam,추암,Chuam,37.4784416,129.1573201
chungju,충주,Chungju,36.9758343,127.9084635
chunyang,춘양,Chunyang,36.9377973,128.9202028
chupungnyeong,추풍령,Chupungnyeong,36.2131264,127.9959985
daecheon,대천,Daecheon,36.3415733,126.5865555
daegok,대곡,Daegok,37.6313934,126.8121808
daegu,대구,Daegu,35.875907,128.5961608
daejeon,대전,Daejeon,36.332491,127.4346335
daeya,대야,Daeya,35.9448158,126.823927
danyang,단양,Danyang,36.9729726,128.3439982
dasi,다시,Dasi,35.0164815,126.6410506
deokso,덕소,Deokso,37.5868528,127.2089141
deungnyang,득량,Deungnyang,34.7612127,127.1702258
dogo_oncheon,도고온천,Dogo Oncheon,36.7495668,126.8895919
dogye,도계,Dogye,37.2292483,129.0442515
dongbaeksan,동백산,Dongbaeksan,37.1549142,129.0342716
dongdaegu,동대구,Dongdaegu,35.8794338,128.6280854
donghae,동해,Donghae,37.4976063,129.1227408
dongtan,동탄,Dongtan,37.2012053,127.0955141
dunnae,둔내,Dunnae,37.5100665,128.2213529
eumseong,음성,Eumseong,36.925754,127.7039941
gaepo,개포,Gaepo,36.6270761,128.3284947
gakgye,각계,Gakgye,36.2081812,127.7253757
gamgok_janghowon,감곡장호원,Gamgok Janghowon,37.12704,127.6356551
ganam,가남,Ganam,37.1973892,127.5354857
ganggu,강구,Ganggu,36.352299,129.3722798
ganggyeong,강경,Ganggyeong,36.1541239,127.0160255
gangjin,강진,Gangjin,34.628381,126.7724029
gangneung,강릉,Gangneung,37.7644434,128.8993076
geundeok,근덕,Geundeok,37.3143669,129.2775482
geungnakgang,극락강,Geungnakgang,35.1758654,126.8302063
gijang,기장,Gijang,35.2440641,129.2188675
gimcheon,김천,Gimcheon,36.1238046,128.1150499
gimcheon_gumi,김천 (구미),Gimcheon (Gumi),36.1130254,128.180706
gimje,김제,Gimje,35.7925676,126.9035332
giseong,기성,Giseong,36.7901813,129.4473138
gohan,고한,Gohan,37.2004483,128.853041
gokseong,곡성,Gokseong,35.2837628,127.3040678
gongju,공주,Gongju,36.3320749,127.0965489
goraebul,고래불,Goraebul,36.6027032,129.4061912
gumi,구미,Gumi,36.1284502,128.3305953
gunbuk,군북,Gunbuk,35.2522839,128.3524717
gunsan,군산,Gunsan,35.9993262,126.7602597
gunwi,군위,Gunwi,36.1610384,128.7456389
gupo,구포,Gupo,35.2050395,128.9969916
guryegu,구례구,Guryegu,35.1632233,127.4523454
gwangcheon,광천,Gwangcheon,36.5015997,126.622356
gwangju,광주,Gwangju,35.1657689,126.9096772
gwangju_songjeong,광주송정,Gwangju Songjeong,35.1378889,126.7901782
gwangmyeong,광명,Gwangmyeong,37.4164912,126.8847709
gwangyang,광양,Gwangyang,34.9561379,127.5877371
gyeongju,경주,Gyeongju,35.7981799,129.1390721
gyeongsan,경산,Gyeongsan,35.8192596,128.7275436
gyeryong,계룡,Gyeryong,36.2729344,127.2655414
hadong,하동,Hadong,35.0636325,127.7619073
haenam,해남,Haenam,34.6370195,126.6371743
haengsin,행신,Haengsin,37.6121266,126.8340349
hallimjeong,한림정,Hallimjeong,35.3231984,128.8041374
haman,함안,Haman,35.2493292,128.4245357
hamchang,함창,Hamchang,36.5698345,128.1745707
hampyeong,함평,Hampyeong,35.0237129,126.5391027
hamyeol,함열,Hamyeol,36.0799888,126.9565904
hapdeok,합덕,Hapdeok,36.7964618,126.7984676
hayang,하양,Hayang,35.9097127,128.8186228
heungbu,흥부,Heungbu,37.097085,129.3691746
hoengcheon,횡천,Hoengcheon,35.0993077,127.8016751
hoengsong,횡성,Hoengsong,37.4827837,128.0104169
hongseong,홍성,Hongseong,36.5994334,126.681097
hupo,후포,Hupo,36.6830683,129.4367181
hwamyeong,화명,Hwamyeong,35.2345594,129.0076341
hwanggan,황간,Hwanggan,36.2243298,127.9115464
hwaseong_city_hall,화성시청,Hwaseong City Hall,37.1898128,126.8205414
hwasun,화순,Hwasun,35.0512779,126.962184
hyangnam,향남,Hyangnam,37.1228397,126.912949
hyeondong,현동,Hyeondong,36.9369386,129.0120248
hyocheon,효천,Hyocheon,35.1029932,126.8770505
iksan,익산,Iksan,35.9405602,126.9457359
illo,일로,Illo,34.8486841,126.4771793
ilsin,일신,Ilsin,37.4453489,127.6890485
imgi,임기,Imgi,36.9038877,128.9994022
imseongri,임성리,Imseong-ri,34.8204726,126.4349609
imsil,임실,Imsil,35.6332354,127.2901554
imwon,임원,Imwon,37.2398144,129.3264487
inju,인주,Inju,36.8385867,126.8819246
iryeong,일영,Iryeong,37.7007226,126.9290485
iwon,이원,Iwon,36.2439368,127.6181783
iyang,이양,Iyang,34.891563,126.9901427
jangdong,장동,Jangdong,34.7532446,126.9952248
janghang,장항,Janghang,36.0398061,126.7154304
jangheung,장흥,Jangheung,37.7187109,126.9415564
jangsa,장사,Jangsa,36.2841109,129.369061
jangseong,장성,Jangseong,35.2999888,126.7796571
jecheon,제천,Jecheon,37.1273908,128.2056931
jeomchon,점촌,Jeomchon,36.5955088,128.2036511
jeongdongjin,정동진,Jeongdongjin,37.691717,129.0326543
jeongeup,정읍,Jeongeup,35.5757603,126.8419588
jeonju,전주,Jeonju,35.8500656,127.1622562
jeonnam_jangheung,전남장흥,Jeonnam Jangheung,34.6690323,126.9109174
jeonui,전의,Jeonui,36.6782725,127.2028936
jeungpyeong,증평,Jeungpyeong,36.7779474,127.5837895
jillye,진례,Jillye,35.2666241,128.7627622
